packet_number,source_mac,ssid,has_vendor_specific,is_drone_id
530,00:11:32:a5:2f:c9,CBJR,true,false
531,22:11:32:a5:2f:c9,CBJRGuest,true,false
532,16:11:32:a5:2f:c9,,true,false
533,00:11:32:a5:2f:c9,CBJR,true,false
534,22:11:32:a5:2f:c9,CBJRGuest,true,false
535,16:11:32:a5:2f:c9,,true,false
537,00:11:32:a5:2f:c9,CBJR,true,false
538,22:11:32:a5:2f:c9,CBJRGuest,true,false
540,00:11:32:a5:2f:c9,CBJR,true,false
541,22:11:32:a5:2f:c9,CBJRGuest,true,false
542,16:11:32:a5:2f:c9,,true,false
543,00:11:32:a5:2f:c9,CBJR,true,false
544,22:11:32:a5:2f:c9,CBJRGuest,true,false
545,16:11:32:a5:2f:c9,,true,false
546,22:11:32:a5:2f:c9,CBJRGuest,true,false
547,16:11:32:a5:2f:c9,,true,false
548,00:11:32:a5:2f:c9,CBJR,true,false
549,22:11:32:a5:2f:c9,CBJRGuest,true,false
550,16:11:32:a5:2f:c9,,true,false
551,00:11:32:a5:2f:c9,CBJR,true,false
552,22:11:32:a5:2f:c9,CBJRGuest,true,false
553,16:11:32:a5:2f:c9,,true,false
555,00:11:32:a5:2f:c9,CBJR,true,false
556,22:11:32:a5:2f:c9,CBJRGuest,true,false
557,00:11:32:a5:2f:c9,CBJR,true,false
558,22:11:32:a5:2f:c9,CBJRGuest,true,false
559,16:11:32:a5:2f:c9,,true,false
560,00:11:32:a5:2f:c9,CBJR,true,false
561,22:11:32:a5:2f:c9,CBJRGuest,true,false
562,16:11:32:a5:2f:c9,,true,false
563,00:11:32:a5:2f:c9,CBJR,true,false
564,22:11:32:a5:2f:c9,CBJRGuest,true,false
565,16:11:32:a5:2f:c9,,true,false
566,00:11:32:a5:2f:c9,CBJR,true,false
567,22:11:32:a5:2f:c9,CBJRGuest,true,false
568,16:11:32:a5:2f:c9,,true,false
569,00:11:32:a5:2f:c9,CBJR,true,false
570,22:11:32:a5:2f:c9,CBJRGuest,true,false
571,16:11:32:a5:2f:c9,,true,false
572,00:11:32:a5:2f:c9,CBJR,true,false
573,22:11:32:a5:2f:c9,CBJRGuest,true,false
574,16:11:32:a5:2f:c9,,true,false
575,00:11:32:a5:2f:c9,CBJR,true,false
576,22:11:32:a5:2f:c9,CBJRGuest,true,false
577,16:11:32:a5:2f:c9,,true,false
578,00:11:32:a5:2f:c9,CBJR,true,false
579,22:11:32:a5:2f:c9,CBJRGuest,true,false
580,16:11:32:a5:2f:c9,,true,false
582,00:11:32:a5:2f:c9,CBJR,true,false
583,22:11:32:a5:2f:c9,CBJRGuest,true,false
584,16:11:32:a5:2f:c9,,true,false
585,00:11:32:a5:2f:c9,CBJR,true,false
586,22:11:32:a5:2f:c9,CBJRGuest,true,false
587,16:11:32:a5:2f:c9,,true,false
588,00:11:32:a5:2f:c9,CBJR,true,false
589,22:11:32:a5:2f:c9,CBJRGuest,true,false
590,16:11:32:a5:2f:c9,,true,false
591,00:11:32:a5:2f:c9,CBJR,true,false
592,22:11:32:a5:2f:c9,CBJRGuest,true,false
593,16:11:32:a5:2f:c9,,true,false
594,00:11:32:a5:2f:c9,CBJR,true,false
595,22:11:32:a5:2f:c9,CBJRGuest,true,false
596,16:11:32:a5:2f:c9,,true,false
597,00:11:32:a5:2f:c9,CBJR,true,false
598,22:11:32:a5:2f:c9,CBJRGuest,true,false
599,16:11:32:a5:2f:c9,,true,false
600,00:11:32:a5:2f:c9,CBJR,true,false
601,22:11:32:a5:2f:c9,CBJRGuest,true,false
602,16:11:32:a5:2f:c9,,true,false
603,00:11:32:a5:2f:c9,CBJR,true,false
604,22:11:32:a5:2f:c9,CBJRGuest,true,false
